SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
      69.000,   90547.992,   92386.462,   90300.143,   95139.685,   84050.904,   77740.948,   78798.648,   83551.094,   90795.968,   96219.843,  100639.084,   97860.535,   76205.269,   84486.666,   95083.898,  102018.538,   98048.093,   98837.483,   89999.920,   82520.516,   85213.988,   92170.755,   94543.429,   91030.635
      70.000,   23161.268,   27117.603,   31647.209,   38272.867,   33578.453,   31409.082,   35696.499,   38749.098,   42717.027,   46323.694,   51978.376,   50686.731,   44530.747,   41945.197,   39977.187,   37256.741,   35881.913,   35987.968,   37612.428,   38717.780,   41363.666,   45501.972,   50460.530,   57234.166
      71.000,   75130.454,   76080.882,   81373.216,   99568.219,   85171.304,   71497.179,   70829.264,   73478.375,   73735.600,   75523.602,   76193.104,   71389.613,   57701.359,   57490.925,   56128.532,   54388.087,   54527.213,   53999.327,   53837.867,   53558.265,   56582.491,   60368.782,   62628.682,   62953.160
      72.000,    7703.736,    8216.613,    9000.779,   10670.437,    9177.673,    8316.693,    8865.647,    9840.123,   10744.220,   11897.301,   13353.316,   10848.066,    7663.353,    6293.798,    4683.387,    2943.014,    2969.202,    2886.741,    2886.117,    2784.013,    2942.046,    3124.546,    3196.474,    3431.060
      73.000,   77398.612,   81536.981,   87278.371,  101266.311,   88664.144,   75499.490,   78560.847,   83017.854,   87324.940,   93849.219,  105813.937,  107367.265,   91000.725,   97176.407,  103825.137,  107565.580,  107831.037,  107930.961,  108342.798,  108737.861,  114053.922,  123702.971,  127611.688,  119517.626
      74.000,  115085.406,  118457.444,  128809.611,  149982.214,  131092.550,  111645.312,  115031.549,  122661.621,  129243.099,  138830.516,  148387.589,  150126.592,  130627.242,  141493.380,  149224.487,  151483.626,  148181.813,  144326.025,  143211.264,  138303.898,  143336.125,  149320.700,  153642.741,  146515.819
      75.000,    7174.519,    7144.331,    7424.075,    8383.129,    7132.948,    6174.759,    6009.018,    6173.100,    6127.996,    6150.251,    6334.435,    5338.725,    4020.194,    3899.436,    3510.105,    3011.956,    2992.959,    3026.800,    3023.538,    3071.455,    3145.712,    3343.580,    3488.811,    3131.527
      76.000,   14960.063,   15615.781,   16208.490,   17383.810,   15845.175,   14689.836,   14351.916,   14299.376,   14392.260,   14868.362,   14609.838,   14178.000,   11816.201,   11490.450,   11953.749,   12025.421,   12297.929,   13242.492,   14242.586,   15050.223,   15186.037,   15666.049,   15493.204,   14731.043
      77.000,   22508.129,   23631.675,   24428.265,   26569.788,   24251.446,   23075.364,   23359.567,   25513.034,   26376.849,   25744.288,   24586.500,   23482.400,   21025.380,   21639.837,   20939.138,   19449.781,   19441.082,   19906.243,   20444.936,   21102.465,   20179.950,   20333.708,   21026.455,   21421.975
      78.000,   53062.233,   53758.911,   52954.673,   55823.943,   47330.734,   42577.895,   42460.824,   43419.176,   44570.805,   46285.735,   47722.120,   45125.829,   35527.030,   36042.233,   37330.836,   38456.845,   38177.676,   38967.296,   38916.795,   38442.632,   37331.108,   39516.819,   40895.781,   38837.349
      79.000,   57116.055,   60158.395,   61757.617,   64810.856,   57001.750,   51515.519,   50969.602,   55031.820,   56123.309,   53866.903,   55891.085,   53907.755,   45619.916,   47532.724,   51216.590,   52896.952,   53466.368,   54612.846,   54772.913,   54989.845,   52923.349,   54591.351,   55997.951,   52653.370
      80.000,  225779.834,  237682.160,  265800.983,  252263.126,  239793.118,  255888.931,  262095.151,  280965.429,  291319.602,  300660.433,  293672.442,  236789.164,  178602.378,  223575.834,  250120.982,  261066.287,  284739.578,  311214.823,  327630.832,  335622.119,  330774.816,  352622.457,  369391.007,  339738.983
      81.000,   31512.005,   31959.699,   35187.476,   32899.662,   30489.719,   31236.700,   33667.633,   36383.152,   37788.750,   38716.332,   38655.790,   30482.451,   24308.556,   30187.952,   33307.440,   32637.786,   35402.533,   38872.073,   41129.183,   42136.691,   41437.743,   42925.957,   46212.741,   43996.873
      82.000,  196357.479,  203727.981,  229632.486,  221496.197,  212899.728,  219948.130,  223150.132,  237020.981,  238774.959,  232605.260,  219863.370,  187695.881,  153059.558,  194831.817,  223899.842,  219527.927,  241063.426,  267463.697,  287814.274,  301430.856,  301541.296,  320105.511,  335068.625,  294447.028
      83.000,  181542.859,  211131.479,  203102.914,  175037.394,  187882.349,  178732.396,  170414.539,  168924.152,  188145.247,  187707.010,  222599.862,  221855.068,  199995.343,  199738.720,  203108.131,  224443.192,  233348.728,  243187.477,  246972.258,  231019.945,  241991.895,  248158.542,  255738.801,  177226.225
      84.000,   11710.233,   13403.029,   13655.407,   11983.795,   11918.264,   10686.147,   10802.881,   10746.689,   11527.028,   11734.431,   13925.920,   14195.232,   13146.887,   13682.617,   14578.580,   16626.262,   17334.266,   20375.262,   20566.963,   17280.404,   18435.928,   19442.247,   19946.207,   19611.172
      85.000,   24191.660,   29479.874,   29332.084,   26239.521,   29931.406,   28697.924,   27422.207,   27443.825,   29725.010,   27263.298,   32305.176,   34628.384,   31495.569,   28650.204,   27591.353,   29972.293,   30605.805,   32499.070,   32957.123,   30884.735,   32318.816,   33459.342,   34397.072,   33175.047
      86.000,   10946.563,   13933.062,   14645.060,   13830.846,   16527.987,   16747.158,   17238.185,   19843.003,   23146.142,   24915.452,   27841.270,   30836.938,   24856.440,   22178.471,   22768.565,   19503.254,   20392.231,   21755.972,   22175.333,   20791.959,   21691.328,   22623.806,   25250.200,   27427.399
      87.000,   47496.905,   50883.992,   52323.033,   55635.090,   53314.515,   55247.118,   53895.091,   55233.131,   57355.613,   56444.468,   54288.558,   45889.351,   34091.307,   31736.427,   30204.593,   32941.061,   32966.339,   33159.200,   34903.011,   34778.463,   34566.074,   35472.054,   37472.510,   38758.123
      88.000,   28118.501,   29472.729,   29582.474,   30722.602,   28715.202,   28795.477,   28558.947,   30342.227,   31049.161,   31240.651,   30275.327,   26805.028,   20429.696,   20040.691,   19924.633,   23075.254,   23475.870,   23447.235,   24916.220,   24963.952,   24728.583,   24854.754,   26300.422,   27089.770
      89.000,    7784.541,    8392.983,    8817.998,    9262.097,    8860.065,    9127.937,    9454.942,    9833.427,   10266.295,   10431.939,   10729.967,    9979.264,    7688.105,    8062.226,    8388.631,    9712.185,    9975.639,   10284.559,   10755.844,   10772.320,   10563.525,   10637.921,   11242.985,   12220.006
      90.000,   52625.817,   56751.369,   57601.567,   66287.768,   62307.021,   68137.692,   70964.434,   72339.964,   80708.510,   85140.895,   87965.251,   94876.963,   91799.698,   92582.260,   95001.201,   93919.577,   99445.917,   96438.885,   97505.552,   96955.068,   93725.942,   98111.014,   99461.663,  100492.337
      91.000,   84093.881,   85934.983,   82432.568,   89274.582,   79305.219,   81253.320,   82425.707,   81685.309,   87058.058,   88162.752,   84994.565,   84774.463,   75976.959,   72220.666,   68922.870,   61727.923,   66514.250,   64401.274,   65183.516,   64723.847,   61773.726,   64229.212,   65762.647,   67498.692
